,query,NF,preference_type,MOO_method,zoo,trial,comp_time,work,output_flag
59,"[['loc', 'health', 'org'], ['positive', 'neutral', 'computers']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,74.7532844543457,0.007014989608442959,2
60,"[['surfboard', 'traffic_light', 'tennis_racket'], ['handbag', 'scissors', 'remote']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,59.98110771179199,0.014527258672829954,2
61,"[['backpack', 'remote'], ['vase'], ['hair_drier', 'elephant', 'boat']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,77.42667198181152,0.01254461775271137,2
62,"[['motorcycle', 'sports_ball'], ['toothbrush'], ['sink', 'bear'], ['cell_phone']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,95.95775604248047,0.01541324430569626,2
63,"[['motorcycle', 'handbag', 'cup'], ['donut', 'cake', 'remote']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,59.478759765625,0.014788048453401733,2
64,"[['frisbee'], ['cat', 'toaster', 'boat'], ['zebra'], ['cup']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,66.77603721618652,0.015755147799610906,2
65,"[['cow', 'carrot'], ['banana', 'backpack'], ['surfboard', 'airplane']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,89.65802192687988,0.015092893206774158,2
66,"[['skis', 'cat', 'bird'], ['horse', 'truck'], ['bed']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,90.02518653869629,0.015341847471830981,2
67,"[['bicycle'], ['donut', 'baseball_bat'], ['elephant'], ['apple'], ['bus']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,199.63383674621582,0.024224710482848133,2
68,"[['sports_ball', 'kite', 'pizza'], ['umbrella'], ['suitcase', 'skateboard']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,112.82730102539062,0.01657818957761075,2
69,"[['fire_hydrant', 'tennis_racket', 'kite'], ['pizza', 'tie'], ['cup']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,93.94264221191406,0.014289687633790708,2
70,"[['loc'], ['positive', 'society'], ['entertainment', 'business', 'per']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,73.5769271850586,0.004633356059185141,2
71,"[['computers'], ['per', 'society', 'science'], ['health'], ['negative']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,234.19427871704102,0.01715296393089345,2
72,"[['health', 'per'], ['family', 'computers'], ['politics'], ['entertainment']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,84.95140075683594,0.007933928532508489,2
73,"[['family', 'science', 'negative'], ['positive'], ['education'], ['org']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,64.77236747741699,0.008500490458450567,2
74,"[['misc'], ['society', 'entertainment'], ['loc', 'education'], ['computers']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,151.1232852935791,0.017181661827305142,2
75,"[['health', 'computers'], ['negative'], ['science'], ['neutral', 'society']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,120.12171745300293,0.01304836995271052,2
76,"[['entertainment', 'sports', 'politics'], ['society', 'computers'], ['neutral']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,30.62725067138672,0.0031153056781551306,2
77,"[['computers', 'business'], ['negative'], ['family', 'health', 'per']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,44.72923278808594,0.0030947814949600565,2
78,"[['neutral', 'sports', 'negative'], ['entertainment'], ['loc', 'business']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,95.69764137268066,0.005822802947853033,2
79,"[['loc', 'health', 'org'], ['positive', 'neutral', 'computers']]",DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,tweet,0,44.20781135559082,0.005468637334491678,2
80,"[['surfboard', 'traffic_light', 'tennis_racket'], ['handbag', 'scissors', 'remote']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,61.77115440368652,0.01464928627699278,2
81,"[['backpack', 'remote'], ['vase'], ['hair_drier', 'elephant', 'boat']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,86.39693260192871,0.013678383230031522,2
82,"[['motorcycle', 'sports_ball'], ['toothbrush'], ['sink', 'bear'], ['cell_phone']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,94.8786735534668,0.014867476785369968,2
83,"[['motorcycle', 'handbag', 'cup'], ['donut', 'cake', 'remote']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,102.80418395996094,0.015349952024443928,2
